"Cooperativa","DEPARTAMENTO","PROVINCIA","DISTRITO","GPS_longitude","GPS_latitude","cos_kgha_1","cos_kgha_2","month_floracion","date_start","date_end","date_harvested"
"aprocassi","Cajamarca","San Ignacio","San Jose de Lourdes",-78.8633035,-5.2004556,NA,40,"octubre",2022-05-05,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San jose de lourdes",-78.866124,-5.1994813,NA,2.17391304347826,"septiembre",2022-05-05,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","San ignacio",-79.0344294,-5.0534925,NA,25,"septiembre",2022-05-09,2022-05-09,NA
"aprocassi","Cajamarca","San ignacio","Chirinos",-78.9030268,-5.2272572,NA,20,"octubre",2022-05-10,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","San jose de lourdes",-78.863295,-5.2011816,NA,1.44927536231884,"septiembre",2022-05-05,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","San jose de lourdes",-78.8644888,-5.1971984,NA,1.41304347826087,"septiembre",2022-05-05,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","San ignacio",-79.0458106,-5.0657619,NA,50,"octubre",2022-05-09,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","Chirinos",-78.9160683,-5.2343807,NA,30,"septiembre",2022-05-10,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","Chirinos",-78.9155202,-5.2349994,NA,40,"septiembre",2022-05-10,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","Chirinos",-78.9177952,-5.229281,NA,40,"octubre",2022-05-10,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","Chirinos",-78.9211135,-5.2300466,NA,45,"octubre",2022-05-10,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","Chirinos",-78.9171421,-5.2267236,NA,40,"octubre",2022-05-10,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0628842,-5.1374699,NA,1.6304347826087,"octubre",2022-05-11,2022-05-17,2022-06-14
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0602948,-5.1367356,NA,1.6304347826087,"noviembre",2022-05-11,2022-05-17,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0369084,-5.0258953,NA,35,"septiembre",2022-05-04,2022-05-11,2019-04-10
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0334305,-5.0268171,NA,28,"octubre",2022-05-04,2022-05-11,2016-04-06
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8583399,-5.2066329,NA,50,"octubre",2022-05-05,2022-05-11,2016-04-07
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8585467,-5.2060229,NA,30,"octubre",2022-05-05,2022-05-11,2016-04-13
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8660392,-5.2014271,NA,60,"octubre",2022-05-05,2022-05-11,2016-04-15
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8648483,-5.2019168,NA,56,"septiembre",2022-05-05,2022-05-11,2015-04-08
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.866615,-5.1986259,NA,28,"septiembre",2022-05-05,2022-05-11,2016-04-13
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0432248,-5.1334522,NA,35,"agosto",2022-05-23,2022-05-23,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0837241,-5.0958985,NA,1.6304347826087,"agosto",2022-05-23,2022-05-23,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.082424,-5.0937121,NA,40,"agosto",2022-05-23,2022-05-23,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.075407,-5.0989704,NA,1.26811594202899,"agosto",2022-05-23,2022-05-23,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0606297,-5.0949784,NA,1.44927536231884,"septiembre",2022-05-24,2022-05-24,NA
