,Cooperativa,dpto,PROVINCIA,dstr,lon,lat,cos_kgha_1,cos_kgha_2,month_floracion,date_start,date_end,date_hrvs
97,norandino,Lambayeque,Ferreñafe,Kañaris,-79.53636,-6.0086867,18,9,octubre,3/18/2022,3/18/2022,7/1/2022
98,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5382082,-6.0089879,15,15,septiembre,3/18/2022,3/18/2022,7/1/2022
99,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5307218,-6.0171816,42.86,30,octubre,3/18/2022,3/18/2022,5/2/2022
100,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5348366,-6.0176192,24.67,37,octubre,3/18/2022,3/18/2022,6/1/2022
101,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5099874,-6.0216968,5,5,septiembre,3/19/2022,3/19/2022,7/1/2022
102,norandino,Lambayeque,Lambayeque,Salas,-79.5037432,-6.0190102,4,4,octubre,3/19/2022,3/20/2022,6/4/2022
103,norandino,Lambayeque,Lambayeque,Salas,-79.5067113,-6.023347,0,0,noviembre,3/19/2022,3/20/2022,7/1/2022
104,norandino,Lambayeque,Lambayeque,Salas,-79.5079235,-6.0232817,5,5,octubre,3/20/2022,3/20/2022,5/1/2022
105,norandino,Lambayeque,Lambayeque,Salas,-79.5053115,-6.0210808,2,18.11594203,octubre,3/20/2022,3/20/2022,6/1/2022
106,norandino,Lambayeque,Lambayeque,Salas,-79.5033433,-6.0213618,8,4,octubre,3/20/2022,3/20/2022,3/1/2022
107,norandino,Lambayeque,Lambayeque,Salas,-79.503413,-6.0189521,2,18.11594203,octubre,3/20/2022,3/20/2022,6/1/2022
108,norandino,Lambayeque,Lambayeque,Salas,-79.5015848,-6.0189912,10,5,octubre,3/20/2022,3/20/2022,6/1/2022
109,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4747019,-6.1457156,8,8,noviembre,3/18/2022,3/22/2022,7/23/2011
110,pangoa,Junin,Satipo,Pangoa,-74.5043963,-11.3737973,19.8,1.793478261,octubre,3/18/2022,3/22/2022,4/1/2017
111,pangoa,Junin,Satipo,Pangoa,-74.5470945,-11.4808004,6.43,1.630434783,septiembre,3/18/2022,3/22/2022,3/18/2016
112,pangoa,Junin,Satipo,Pangoa,-74.5441846,-11.4945635,26.67,1.449275362,octubre,3/18/2022,3/21/2022,4/15/2016
113,pangoa,Junin,Satipo,Pangoa,-74.5271726,-11.4841208,10,30,septiembre,3/19/2022,3/22/2022,4/6/2015
114,pangoa,Junin,Satipo,Pangoa,-74.5347317,-11.4943936,13.33,40,septiembre,3/19/2022,3/22/2022,4/7/2015
115,pangoa,Junín,Satipo,Pangoa,-74.4791126,-11.4750277,10.73,59,septiembre,3/19/2022,3/22/2022,3/19/2015
116,pangoa,Junín,Satipo,Pangoa,-74.5133942,-11.4995874,13.14,46,octubre,3/21/2022,3/22/2022,4/10/2017
117,pangoa,Junín,Satipo,Pangoa,-74.5129663,-11.5203992,13,26,octubre,3/21/2022,3/22/2022,5/9/2016
118,pangoa,Junín,Satipo,Pangoa,-74.5060597,-11.5028653,11.85,1.394927536,octubre,3/21/2022,3/21/2022,5/5/2014
119,pangoa,Junín,Satipo,Pangoa,-74.3724723,-11.6984401,18.57,1.177536232,septiembre,3/21/2022,3/21/2022,4/25/2016
120,pangoa,Junín,Satipo,Pangoa,-74.39224,-11.6637888,26.29,1.666666667,octubre,3/21/2022,3/21/2022,4/23/2018
121,pangoa,Junín,Satipo,Pangoa,-74.3705236,-11.6488181,7,14,octubre,3/21/2022,3/21/2022,4/18/2016
122,pangoa,Junín,Satipo,Pangoa,-74.4724053,-11.5512504,16,16,agosto,3/22/2022,3/22/2022,3/24/2015
123,pangoa,Junin,Satipo,Pangoa,-74.4785604,-11.5517109,2.22,10,agosto,3/22/2022,3/22/2022,4/6/2015
124,pangoa,Junín,Satipo,Pangoa,-74.4871751,-11.5534766,5.71,20,octubre,3/22/2022,3/22/2022,4/1/2008
125,pangoa,Junín,Satipo,Pangoa,-74.4870608,-11.5538726,13.33,20,septiembre,3/22/2022,3/22/2022,4/11/2016
126,pangoa,Junin,Satipo,Pangoa,-74.5069688,-11.5659161,20,50,octubre,3/22/2022,3/22/2022,4/13/2015
127,pangoa,Junín,Satipo,Pangoa,-74.5116645,-11.5694025,13.6,34,octubre,3/22/2022,3/22/2022,4/6/2015
128,pangoa,Junin,Satipo,Pangoa,-74.5304246,-11.4885606,20,40,octubre,3/22/2022,3/22/2022,4/14/2022
129,pangoa,Junin,"Satipo
",Pangoa,-74.4962305,-11.5626543,5,20,octubre,3/18/2022,3/23/2022,4/13/2022
130,pangoa,Junin,Satipo,Pangoa,-74.4966673,-11.5671408,6,54,octubre,3/19/2022,3/23/2022,4/8/2022
131,pangoa,Junin,Huancayo,SantoDomingo de Acobamba,-74.5149304,-11.5692824,4.29,30,octubre,3/21/2022,3/23/2022,4/4/2022
132,pangoa,Junín,Satipo,Pangoa,-74.4928077,-11.5641079,5,15,octubre,3/21/2022,3/23/2022,4/15/2022
133,pangoa,Junín,Satipo,PANGOA,-74.4749759,-11.5771851,2.86,20,octubre,3/21/2022,3/23/2022,4/15/2022
134,pangoa,Junín,Satipo,PANGOA,-74.5355251,-11.4965301,7.5,15,noviembre,3/22/2022,3/23/2022,4/10/2022
135,pangoa,Junin,Satipo,San Martin,-74.534646,-11.4915044,22.5,45,octubre,3/22/2022,3/23/2022,4/20/2022
136,pangoa,Junin,Satipo,Pangoa,-74.5335004,-11.4928878,5,20,octubre,3/22/2022,3/23/2022,5/6/2022
137,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4715589,-6.1739317,4,4,octubre,3/23/2022,3/23/2022,7/22/2016
138,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.471352,-6.1742416,15.38,2,septiembre,3/23/2022,3/23/2022,8/10/2018
139,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4733247,-6.1743244,6,3,octubre,3/23/2022,3/23/2022,8/21/2020
140,pangoa,Junín,Satipo,Pangoa,-74.4946402,-11.562013,5,15,octubre,3/19/2022,3/24/2022,4/15/2022
141,pangoa,Junin,Satipo,"Pangoa 

",-74.5367842,-11.4647124,6.67,30,septiembre,3/23/2022,3/23/2022,3/29/2022
142,pangoa,Junin,Satipo,Pangoa,-74.5266311,-11.4604943,7,7,agosto,3/23/2022,3/23/2022,3/29/2022
143,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4860645,-6.1489327,3,3,octubre,3/15/2022,3/23/2022,8/20/2020
144,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4838712,-6.1491626,6.67,5,septiembre,3/20/2022,3/23/2022,8/1/2015
145,norandino,PIURA,HUANCABAMBA,CANCHAQUE,-79.6076844,-5.2620811,8,8,septiembre,3/24/2022,3/24/2022,8/15/2013
146,norandino,Piura,Huamcabamba,Lalaquiz,-79.6971421,-5.1664552,10,5,octubre,3/24/2022,3/24/2022,NA
147,norandino,Piura,Huamcabamba,Lalaquiz,-79.6770868,-5.1669546,50,25,octubre,3/24/2022,3/24/2022,NA
148,norandino,Piura,Huamcabamba,Lalaquiz,-79.6771346,-5.1663253,40,20,octubre,3/24/2022,3/24/2022,NA
149,norandino,Piura,Huamcabamba,Lalaquiz,-79.6767198,-5.168018,40,40,octubre,3/24/2022,3/24/2022,NA
150,norandino,Piura,Huamcabamba,Lalaquiz,-79.676012,-5.1725234,50,25,octubre,3/24/2022,3/24/2022,NA
151,norandino,Piura,Huamcabamba,Lalaquiz,-79.6755575,-5.1719788,17,17,octubre,3/24/2022,3/24/2022,NA
152,norandino,PIURA,HUANCABAMBA,CANCHAQUE,-79.6077672,-5.2625218,33.33,50,septiembre,3/24/2022,3/25/2022,3/24/2018
153,norandino,PIURA,HUANCABAMBA,CANCHAQUE,-79.6097616,-5.2640954,12,12,septiembre,3/24/2022,3/25/2022,6/19/2015
154,norandino,Piura,Huancabamba,Lalaquiz,-79.6805851,-5.2022678,12,3,noviembre,3/17/2022,3/17/2022,6/3/2022
