"","cell","date_start","date_end","lon","lat","dpto","dstr","date_hrvs","month_floracion","cos_kgha_1","cos_kgha_2"
"392",26108,2022-05-10,2022-05-10,-78.9324007,-5.2354355,"Cajamarca","Chirinos",NA,"octubre",1104,3312
"393",26108,2022-05-10,2022-05-11,-78.9351031,-5.2324787,"Cajamarca","Chirinos",NA,"octubre",1324.8,2318.4
"394",26108,2022-05-10,2022-05-11,-78.9343095,-5.2300465,"Cajamarca","Chirinos",NA,"octubre",993.6,496.8
"395",25600,2022-04-30,2022-04-30,-79.005153,-5.1151689,"Cajamarca","San Ignacio",NA,"noviembre",828,1656
"396",25857,2022-05-02,2022-05-07,-78.8436783,-5.1835517,"Cajamarca","San José de Lourdes",NA,"septiembre",2252.16,102
"397",25857,2022-05-02,2022-05-07,-78.8415718,-5.1829431,"Cajamarca","San José de Lourdes",NA,"octubre",136,136
"398",25857,2022-05-02,2022-05-07,-78.839453,-5.1818978,"Cajamarca","San José de Lourdes",NA,"octubre",NA,160
"399",25857,2022-05-02,2022-05-07,-78.8393571,-5.1818064,"Cajamarca","San José de Lourdes",NA,"octubre",NA,1656
"400",25857,2022-05-02,2022-05-09,-78.8441288,-5.1850922,"Cajamarca","San José de Lourdes",NA,"septiembre",NA,1324.8
"401",25857,2022-05-02,2022-05-09,-78.8433907,-5.1837175,"Cajamarca","San José de Lourdes",NA,"septiembre",NA,1435.2
"402",25599,2022-05-03,2022-05-03,-79.0646283,-5.1451772,"Cajamarca","San Ignacio",NA,"octubre",NA,2760
"403",25852,2022-05-03,2022-05-11,-79.055308,-5.1500847,"Cajamarca","San Ignacio",NA,"octubre",NA,2208
"404",25852,2022-05-03,2022-05-03,-79.0540726,-5.1529349,"Cajamarca","San Ignacio",NA,"octubre",NA,2760
"405",25852,2022-05-03,2022-05-11,-79.0539612,-5.1530156,"Cajamarca","San Ignacio",NA,"octubre",NA,1104
"406",25094,2022-05-04,2022-05-04,-79.0341744,-5.0278396,"Cajamarca","San Ignacio",2011-05-04,"octubre",NA,1380
"407",25094,2022-05-04,2022-05-04,-79.0334276,-5.0268255,"Cajamarca","San Ignacio",2016-04-05,"octubre",NA,1766.4
